"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","dunearea"
"1","Distance",-26631.6550375269,2,53267.3100750539,53267.3756488244,0.000211492777619874,0.603436440639212,-26631.6550375269,0,0,0,NA,NA,"westhoek"
"2","urban",-26631.7086330781,3,53271.2756883673,53271.4075564992,0.000204446248449221,0.603281519660863,-26632.6378441837,3.96561331339763,4.03190767479828,0.982806656800676,2500,1,"westhoek"
"3","Null",-26634.9897667238,1,53271.9795334475,53272.001272578,0,0.603377334397275,-26634.9897667238,4.66945839359687,4.62562375359994,3.3347291969003,NA,NA,"westhoek"
"4","beach",-26631.6550375269,3,53269.3100750539,53269.4419431858,0.000211492777619874,0.603436440639212,-26631.6550375269,2,2.06629436139337,0,1,2500,"westhoek"
"5","scrub",-26631.4666893236,3,53274.0535937293,53274.1854618612,0.00291800932220654,0.604484592824856,-26634.0267968647,6.74351867540099,6.80981303679437,2.37175933779872,1,2500,"westhoek"
"6","fixed",-26631.6550375303,3,53275.2452498721,53275.377118004,0.000222188713546665,0.602253814528955,-26634.6226249361,7.93517481820163,8.00146917959501,2.96758740919904,1,2500,"westhoek"
"7","opend",-26631.6550375269,3,53274.9376729401,53275.0695410719,8.33917182676207e-05,0.60341215772096,-26634.46883647,7.62759788619587,7.69389224749466,2.81379894310157,2500,1,"westhoek"
"8","Null",-1318.46737640583,1,2638.93475281166,2639.04001596956,0,0.60546061590262,-1318.46737640583,0,0,0.897978841410122,NA,NA,"cabour"
"9","Distance",-1318.45056356323,2,2640.90112712646,2641.22545145078,1.93321941908057e-05,0.605365323517857,-1318.45056356323,1.96637431479985,2.18543548121988,0.881165998810047,NA,NA,"cabour"
"10","urban",-99999,3,2642.90180850657,2643.56847517324,1.90035284996492e-05,0.605363130335081,-1318.45090425328,3.96705569490996,4.52845920368009,0.8815066888601,1,2500,"cabour"
"11","water",-99999,3,2642.90121429568,2643.56788096235,1.92825025257582e-05,0.605364930816466,-1318.45060714784,3.96646148401987,4.52786499279,0.881209583420059,1,2500,"cabour"
"12","agric",-99999,3,2641.13879512884,2641.80546179551,0.0118575261203164,0.599707408857069,-1317.56939756442,2.20404231717976,2.76544582594988,0,1,2500,"cabour"
"13","scrub",-99999,3,2642.89508002905,2643.56174669571,2.2979361587341e-05,0.605348611808163,-1318.44754001452,3.96032721738993,4.52173072615005,0.878142450100086,1,2500,"cabour"
"14","fixed",-99999,3,2642.65925491182,2643.32592157849,0.000238255402382078,0.606581537772148,-1318.32962745591,3.72450210015995,4.28590560893008,0.760229891490098,1,2500,"cabour"
"15","opend",-1318.45541990186,3,2642.91083979237,2643.57750645904,3.92338889747195e-05,0.605483159312455,-1318.45541989619,3.97608698071008,4.53749048947975,0.886022331770164,1,2500,"cabour"
"16","Null",-8958.6059669103,1,17919.2119338206,17919.2507687721,0,0.563990049611731,-8958.6059669103,1.39103252869972,1.19224371790187,2.69551626436987,NA,NA,"doornpanne"
"17","Distance",-8957.98310447476,2,17919.9662089495,17920.0838560084,0.000111375707043031,0.564393183740802,-8957.98310447476,2.14530765759991,2.02533095420222,2.07265382883088,NA,NA,"doornpanne"
"18","urban",-8957.98182400729,3,17922.9977260545,17923.2353498168,2.88822716854906e-05,0.564179867817094,-8958.49886302724,5.1768247625987,5.17682476260234,2.58841238131026,1,2500,"doornpanne"
"19","water",-8957.99638860093,3,17921.9927772019,17922.2304009642,0.000108966654269177,0.564387756944732,-8957.99638860093,4.17187591000038,4.17187591000038,2.08593795500019,1,2500,"doornpanne"
"20","agric",-8957.98310447476,3,17921.9662089495,17922.2038327119,0.000111375707043031,0.564393183740802,-8957.98310447476,4.14530765759991,4.14530765770178,2.07265382883088,1,2500,"doornpanne"
"21","beach",-8957.98310447476,3,17921.9662089495,17922.2038327119,0.000111375707043031,0.564393183740802,-8957.98310447476,4.14530765759991,4.14530765770178,2.07265382883088,1,2500,"doornpanne"
"22","scrub",-8957.98310447533,3,17922.8940139337,17923.1316376961,4.41929014602859e-05,0.56416369556863,-8958.44700696686,5.07311264179953,5.07311264190139,2.53655632093069,2500,1,"doornpanne"
"23","fixed",-8955.91045064601,3,17917.8209012919,17918.0585250542,0.000772209678147808,0.564610279360146,-8955.91045064593,0,0,0,2500,1,"doornpanne"
"24","opend",-8957.28544525485,3,17921.2819743056,17921.519598068,0.000869868723542696,0.56472379389736,-8957.6409871528,3.46107301369921,3.46107301380107,1.73053650686961,1,2500,"doornpanne"
"25","Null",-14611.8214551299,1,29225.6429102597,29225.672761006,0,0.612961762292816,-14611.8214551299,0,0,0.370440890301325,NA,NA,"teryde"
"26","Distance",-14611.4510142396,2,29226.9020284791,29226.992254043,4.19081439990197e-05,0.612842086158378,-14611.4510142396,1.25911821940099,1.31949303700094,0,NA,NA,"teryde"
"27","urban",-14611.3412915643,3,29229.4635341427,29229.6453523245,2.03153291354694e-05,0.6132638463239,-14611.7317670714,3.82062388299892,3.97259131849933,0.280752831800783,2500,1,"teryde"
"28","water",-14611.4510142396,3,29228.9020284791,29229.0838466609,4.19081439990197e-05,0.612842086158378,-14611.4510142396,3.25911821940099,3.41108565489776,0,1,2500,"teryde"
"29","agric",-14611.4510142396,3,29228.9020284791,29229.0838466609,4.19081439712234e-05,0.612842086378625,-14611.4510142396,3.25911821940099,3.41108565489776,0,1.00000000000045,2500,"teryde"
"30","beach",-14611.4510142396,3,29228.9020284791,29229.0838466609,4.19081439418381e-05,0.612842086611637,-14611.4510142396,3.25911821940099,3.41108565489776,0,0.999999999999545,2500,"teryde"
"31","scrub",-14611.3637010093,3,29229.6010226173,29229.7828407991,1.9559007423325e-05,0.612971919706727,-14611.8005113086,3.95811235759902,4.11007979309943,0.34949706900079,1,2500,"teryde"
"32","fixed",-14611.4454929525,3,29229.1074547354,29229.2892729172,0.000255348585438701,0.612603901861242,-14611.5537273677,3.46454447570068,3.61651191120109,0.102713128100731,1,2500,"teryde"
"33","opend",-14611.3939066549,3,29229.4051939133,29229.5870120951,2.41249874035967e-05,0.612930842506347,-14611.7025969566,3.7622836535993,3.91425108909971,0.251582717000929,2500,1,"teryde"
