"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","dunearea"
"1","Distance",-26631.655037527,2,53267.310075054,53267.3756488245,0.000211492777612144,0.603436440653669,-26631.655037527,0,0,0,NA,NA,"westhoek"
"2","Null",-26634.9897667238,1,53271.9795334476,53272.001272578,0,0.603377334391757,-26634.9897667238,4.66945839359687,4.62562375350535,3.33472919679843,NA,NA,"westhoek"
"3","opend",-26631.655047097,3,53274.93767294,53275.0695410719,8.33917182688999e-05,0.603412157714682,-26634.46883647,7.62759788599942,7.69389224740007,2.81379894299971,2500,1,"westhoek"
"4","fixed",-26631.6550375271,3,53272.708518325,53272.8403864569,0.000255642299935894,0.603672821584012,-26633.3542591625,5.39844327099854,5.46473763239919,1.69922163549927,2500,1,"westhoek"
"5","scrub",-26631.4666893259,3,53274.0535937292,53274.1854618611,0.00291800947347848,0.604484561248253,-26634.0267968646,6.74351867519727,6.80981303660519,2.37175933759863,1,2500,"westhoek"
"6","beach",-26631.655037527,3,53269.310075054,53269.4419431858,0.000211492777612144,0.603436440653669,-26631.655037527,2,2.06629436129879,0,1,2500,"westhoek"
"7","urban",-26631.6550375269,3,53271.2756883672,53271.4075564991,0.000204446266094718,0.603281486813632,-26632.6378441836,3.9656133131939,4.03190767460183,0.982806656596949,2500,1,"westhoek"
"8","Null",-1318.46737640583,1,2638.93475281166,2639.04001596956,0,0.60546061590262,-1318.46737640583,0,0,0.897978841410122,NA,NA,"cabour"
"9","Distance",-1318.45056356323,2,2640.90112712646,2641.22545145078,1.93321941908057e-05,0.605365323517857,-1318.45056356323,1.96637431479985,2.18543548121988,0.881165998810047,NA,NA,"cabour"
"10","opend",-1318.45541989965,3,2642.91083979237,2643.57750645904,3.92338889747195e-05,0.605483159312455,-1318.45541989619,3.97608698071008,4.53749048947975,0.886022331770164,1,2500,"cabour"
"11","fixed",-99999,3,2642.65925491182,2643.32592157849,0.000238255402382078,0.606581537772148,-1318.32962745591,3.72450210015995,4.28590560893008,0.760229891490098,1,2500,"cabour"
"12","scrub",-99999,3,2642.89508002905,2643.56174669571,2.2979361587341e-05,0.605348611808163,-1318.44754001452,3.96032721738993,4.52173072615005,0.878142450100086,1,2500,"cabour"
"13","agric",-99999,3,2641.13879512884,2641.80546179551,0.0118575261203164,0.599707408857069,-1317.56939756442,2.20404231717976,2.76544582594988,0,1,2500,"cabour"
